id,doc_id,article_number,lang,text,keyword_label,top_scores,label,truncated
1,BO_7470_Fr,PREMIER,fr,"Est approuvé, tel qu'il est annexé
à l'original du présent décret, le contrat conclu le 7 novembre
2025 entre le Royaume du Maroc et la Banque européenne
d'investissement (BEI), pour la garantie du prêt d'un montant
de soixante-dix millions d'euros (70.000.000 euros), consenti
par ladite banque à l'Office national de l'électricité et de l'eau
potable (ONEE), pour le financement du projet «Production
d'eau potable III (AEP3).
national de l'électricité et de l'eau potable (ONEE),
pour le financement du projet « Transmission Energie
Renouvelable ».",Environnement,"Environnement=3, Civil=1, Fiscal=0",Environnement,False
2,BO_7470_Fr,2,fr,"La ministre de l'économie et des finances est
chargée de l'exécution du présent décret qui sera publié au
Bulletin officiel.
LE CHEF DU GOUVERNEMENT,
Vu la loi de finances pour l'année 1982 n°  26-81
promulguée par le dahir n°  1-81-425 du 5 rabii I 1402
(1er janvier 1982), notamment son article 41, paragraphe I ;
Fait à Rabat, le 20 joumada II 1447 (11 décembre 2025).
AZIZ AKHANNOUCH.
Sur proposition de la ministre de l'économie et des finances,
Pour contreseing :
La ministre de l'économie
DÉCRÈTE :",Indéterminé,"Fiscal=0, Social=0, Administratif=0",Indéterminé,False
3,BO_7470_Fr,PREMIER,fr,"Est approuvé, tel qu'il est annexé
à l'original du présent décret, le contrat conclu le 7 novembre
2025 entre le Royaume du Maroc et la Banque européenne
d'investissement (BEI), pour la garantie du prêt d'un montant
de cent soixante-dix millions d'euros (170.000.000 euros),
consenti par ladite banque à l'Office national de l'électricité
et de l'eau potable (ONEE), pour le financement du projet
« Transmission Energie Renouvelable ».
et des finances,
NADIA FETTAH.
Le texte en langue arabe a été publié dans l'édition générale du
« Bulletin officiel » n° 7469 du 8 rejeb 1447 (29 décembre 2025).",Civil,"Civil=1, Environnement=1, Fiscal=0",Civil,False
4,BO_7470_Fr,2,fr,"La ministre de l'économie et des finances est
chargée de l'exécution du présent décret qui sera publié au
Bulletin officiel.
Décret n°2-25-967 du 20 joumada II 1447 (11 décembre 2025)
approuvant la décision de Bank Al-Maghrib relative à la
mise en circulation d'un billet de banque de 100 dirhams
commémorant la 35ème édition de la Coupe d'Afrique des
Nations - Maroc 2025.
Fait à Rabat, le 20 joumada II 1447 (11 décembre 2025).
AZIZ AKHANNOUCH.
Pour contreseing :
La ministre de l'économie
et des finances,
NADIA FETTAH.
LE CHEF DU GOUVERNEMENT,
Vu les articles 5, 25, 54, 55, 57 et 58 de la loi n° 40-17
portant statut de Bank Al-Maghrib, promulguée par le dahir
n°1-19-82 du 17 chaoual 1440 (21 juin 2019) ;
Le texte en langue arabe a été publié dans l'édition générale du
« Bulletin officiel » n° 7469 du 8 rejeb 1447 (29 décembre 2025).
Vu l'article premier du décret n° 2-19-1095 du 3 chaoual
1441 (26 mai 2020), pris pour l'application de la loi n° 40-17
portant statut de Bank Al-Maghrib ;
Décret n° 2-25-965 du 20 joumada II 1447 (11 décembre 2025)
approuvant le contrat conclu le 7 novembre 2025
entre le Royaume du Maroc et la Banque européenne
d'investissement (BEI), pour la garantie du prêt d'un
montant de soixante-dix millions d'euros (70.000.000
euros), consenti par ladite banque à l'Office national de
l'électricité et de l'eau potable (ONEE), pour le financement
du projet «Production d'eau potable III (AEP3).
Vu les délibérations du Conseil de Bank Al-Maghrib,
du 30 rabii I 1447 (23 septembre 2025), décidant la mise en
circulation d'un billet de banque de 100 dirhams commémorant
la 35ème édition de la Coupe d'Afrique des Nations - Maroc
2025 ;
Et sur proposition de la ministre de l'économie et des
finances,
LE CHEF DU GOUVERNEMENT,
DÉCRÈTE :
Vu la loi de finances pour l'année 1982 n°  26-81
promulguée par le dahir n° 1-81-425 du 5 rabii I 1402 (1er janvier
1982), notamment son article 41, paragraphe I ;",Environnement,"Environnement=2, Civil=1, Fiscal=0",Environnement,False
5,BO_7470_Fr,PREMIER,fr,"Est approuvée la décision du
Conseil de Bank Al-Maghrib relative à la mise en circulation
d'un billet de banque de 100 dirhams commémorant la
35ème édition de la Coupe d'Afrique des Nations - Maroc 2025.
Sur proposition de la ministre de l'économie et des finances,",Indéterminé,"Fiscal=0, Social=0, Administratif=0",Indéterminé,False
6,BO_7470_Fr,2,fr,"Le billet de banque commémoratif a cours
légal et présente les caractéristiques suivantes  :
• Stylisation de silhouettes de joueurs en action avec un
ballon ;
• Ballon orné de la carte de l'Afrique au milieu d'un
ensemble d'étoiles dynamiques évoquant la célébration.
Caractéristiques techniques
– Format : 144 mm x 70 mm ;
Centre du billet  :
– Filigrane : Portrait de Sa Majesté le Roi Mohammed VI
• Mixture de motifs africains et d'arabesques marocaines ;
et le nombre 100 ;
• Des micro-textes imprimés sur plusieurs zones du billet
visibles à l'aide d'une loupe.
– Fil de sécurité à fenêtres : A changement de couleur
avec effet dynamique des inscriptions 100 et « DH »
en alternance et de l'étoile à cinq branches, en plus du
nombre 100 démétallisé.",Indéterminé,"Fiscal=0, Social=0, Administratif=0",Indéterminé,False
7,BO_7470_Fr,3,fr,"La ministre de l'économie et des finances est
chargée de l'exécution du présent décret qui sera publié au
Bulletin officiel.
Caractéristiques artistiques
Fait à Rabat, le 20 joumada II 1447 (11 décembre 2025).
– Thématique : L'organisation par le Maroc de la
35ème  édition de la Coupe d'Afrique des Nations ;
AZIZ AKHANNOUCH.
Pour contreseing :
– Couleurs dominantes : Gris et jaune.
La ministre de l'économie
Recto  :
et des finances,
– Partie supérieure  :
NADIA FETTAH.
• Dénomination de l'institut d'émission » « بنك املغرب
Le texte en langue arabe a été publié dans l'édition générale du
« Bulletin officiel » n° 7467 du 1er rejeb 1447 (22 décembre 2025).
•La valeur faciale d'émission  : «»مائة درهم
–Au centre :
Décret n°2-25-968 du 20 joumada II 1447 (11 décembre 2025)
• Portrait de Sa Majesté le Roi Mohammed VI ;
approuvant la décision de Bank Al-Maghrib relative à la
mise en circulation de pièces de monnaie de 1000 dirhams
en or et de 250 dirhams en argent commémorant la
35ème édition de la Coupe d'Afrique des Nations-Maroc 2025.
• Armoiries du Royaume ;
• Ornement d'arabesques marocaines et le nombre 100
stylé ;
• Stylisation du nouveau Complexe Sportif Prince Moulay
Abdellah de Rabat ;
LE CHEF DU GOUVERNEMENT,
• Stylisation d'un ballon de football imprimé en encre
spéciale à couleur changeante du magenta au vert ;
Vu les articles 5, 25, 54, 55, 57 et 58 de la loi n°40-17
portant statut de Bank Al-Maghrib, promulguée par le dahir
n°1-19-82 du 17 chaoual 1440 (21 juin 2019) ;
– En bas :
• Le nombre 100 dont une partie est imprimée sur le recto
et une partie sur le verso. Une fois le billet examiné face
à la lumière, les éléments incomplets du nombre 100
se superposent de manière parfaite pour constituer la
totalité du motif ;
Vu l'article premier du décret n° 2-19-1095 du 3 chaoual
1441 (26 mai 2020), pris pour l'application de la loi n°40-17
portant statut de Bank Al-Maghrib ;
Vu les délibérations du Conseil de Bank Al-Maghrib,
du 30 rabii I 1447 (23 septembre 2025), décidant la mise en
circulation de pièces de monnaie de 1000 dirhams en or et de
250 dirhams en argent commémorant la 35ème édition de la
Coupe d'Afrique des Nations - Maroc 2025 ;
• Le nombre 100 imprimé en encre spéciale à changement
de couleur or - vert.
Verso  :
Et sur proposition de la ministre de l'économie et des
finances,
• Dénomination de l'institut d'émission en lettres Tifinagh
et françaises  :
DÉCRÈTE :
« «ⵍⴱⴰⵏⴽ ⵏ ⵍⵎⵖⵔⵉⴱ» , « BANK AL-MAGHRIB »",Administratif,"Administratif=1, Environnement=1, Fiscal=0",Administratif,False
8,BO_7470_Fr,PREMIER,fr,"Est approuvée la décision du
Conseil de Bank Al-Maghrib relative à la mise en circulation
de pièces de monnaie de 1000 dirhams en or et de 250 dirhams
en argent commémorant la 35ème édition de la Coupe d'Afrique
des Nations-Maroc 2025.
• Valeur faciale 100 DH ;
• Stylisation de la vue intérieure du nouveau Complexe
Sportif Prince Moulay Abdellah de Rabat ;",Environnement,"Environnement=1, Fiscal=0, Social=0",Environnement,False
9,BO_7470_Fr,2,fr,"Les pièces de monnaie commémoratives ont
cours légal et présentent les caractéristiques suivantes  :
Revers :
– Au centre :
– La pièce de monnaie commémorative en or  :
• Représentation artistique du nouveau Complexe sportif
Prince Moulay Abdellah de Rabat, surmontée de rayons
festifs ainsi que de la carte de l'Afrique.
– Alliage : Or 916,7 millièmes ;
– Poids : 39,94 grammes ;
«املغرب
 •L'inscription suivante : « Morocco 2025
– Diamètre : 38,61 millimètres ;
– Tranche : Cannelée ;
– En bas : La valeur faciale en chiffres et en lettres arabes  :
– Frappe : Proof.
» مائتان وخمسون درهما250«
Avers :",Environnement,"Environnement=1, Fiscal=0, Social=0",Environnement,False
10,BO_7470_Fr,3,fr,"La ministre de l'économie et des finances est
chargée de l'exécution du présent décret qui sera publié au
Bulletin officiel.
– Au centre  : Effigie de Sa Majesté le Roi Mohammed VI
avec de part et d'autre les inscriptions suivantes en
lettres arabes et Tifinagh :
Fait à Rabat, le 20 joumada II 1447 (11 décembre 2025).
« ⵜⴰⴳⵍⴷⵉⵜ ⵏ ⵍⵎⵖⵔⵉⴱ-» اململكة املغربية
AZIZ AKHANNOUCH.
Pour contreseing :
–En bas  : l'inscription « »محمد السادسentourée des
La ministre de l'économie
millésimes  : 2025-1447
et des finances,
NADIA FETTAH.
Revers  :
Le texte en langue arabe a été publié dans l'édition générale du
– Au centre :
« Bulletin officiel » n° 7467 du 1er rejeb 1447 (22 décembre 2025).
• Représentation artistique du nouveau Complexe Sportif
Prince Moulay Abdellah de Rabat, surmontée de rayons
festifs ainsi que de la carte de l'Afrique.
Décret n°2-25-966 du 2 rejeb 1447 (23 décembre 2025)
• L'inscription suivante :
approuvant le retrait de la circulation de billets de
 banque.
« Morocco 2025  » املغرب
–En bas  : La valeur faciale en chiffres et en lettres arabes :
LE CHEF DU GOUVERNEMENT,
» درهم1000 «ألف
Vu la loi n° 40-17 portant statut de Bank Al-Maghrib,
promulguée par le dahir n° 1-19-82 du 17 chaoual 1440 (21 juin
2019) notamment ses articles 25 et 61 ;
La pièce de monnaie commémorative en argent :
Vu le décret n° 2-19-1095 du 3 chaoual 1441 (26 mai 2020),
pris pour l'application de la loi n° 40-17 portant statut de Bank
Al-Maghrib notamment son article premier ;
– Alliage : Argent : 925 millièmes ;
Cuivre  : 75 millièmes ;
– Poids : 28,28 grammes ;
Vu les délibérations du Conseil de Bank Al-Maghrib, en
date du 30 rabii 1 1447 (23 septembre 2025), décidant le retrait
de billets de banque ;
– Diamètre : 38,61 millimètres ;
– Tranche : Cannelée ;
Et sur proposition de la ministre de l'économie et des
finances,
– Frappe : Proof.
Avers :
DÉCRÈTE :",Environnement,"Environnement=1, Fiscal=0, Social=0",Environnement,False
